# Quiz Questions
# Format: QUESTION | CORRECT_ANSWER | WRONG1 | WRONG2 | WRONG3

What is the capital of France? | Paris | London | Berlin | Madrid
How many planets are in our solar system? | 8 | 7 | 9 | 10
What is the chemical symbol for gold? | Au | Ag | Fe | Cu
Who wrote "Romeo and Juliet"? | William Shakespeare | Charles Dickens | Jane Austen | Mark Twain
What is the largest ocean on Earth? | Pacific Ocean | Atlantic Ocean | Indian Ocean | Arctic Ocean
In what year did World War II end? | 1945 | 1939 | 1942 | 1950
What is the square root of 144? | 12 | 11 | 13 | 14
Which planet is known as the Red Planet? | Mars | Venus | Jupiter | Saturn
What is the fastest land animal? | Cheetah | Lion | Horse | Leopard
How many sides does a hexagon have? | 6 | 5 | 7 | 8
